benchmark,run,result
quadratic,baseline,785
quadratic,GVN,incorrect
montgomery,baseline,17
montgomery,GVN,incorrect
primes-between,baseline,574100
primes-between,GVN,incorrect
mod_pow,baseline,243
mod_pow,GVN,incorrect
orders,baseline,5352
orders,GVN,timeout
sum-check,baseline,5018
sum-check,GVN,incorrect
palindrome,baseline,298
palindrome,GVN,incorrect
rot13,baseline,8
rot13,GVN,incorrect
totient,baseline,253
totient,GVN,incorrect
fib_recursive,baseline,2693
fib_recursive,GVN,incorrect
relative-primes,baseline,1923
relative-primes,GVN,incorrect
hanoi,baseline,99
hanoi,GVN,incorrect
is-decreasing,baseline,127
is-decreasing,GVN,incorrect
squares,baseline,153
squares,GVN,incorrect
graycode,baseline,1259
graycode,GVN,incorrect
grad_desc,baseline,229
grad_desc,GVN,incorrect
check-primes,baseline,8468
check-primes,GVN,incorrect
sum-sq-diff,baseline,3038
sum-sq-diff,GVN,incorrect
fitsinside,baseline,10
fitsinside,GVN,10
hamming,baseline,117
hamming,GVN,incorrect
fact,baseline,229
fact,GVN,incorrect
loopfact,baseline,116
loopfact,GVN,incorrect
recfact,baseline,104
recfact,GVN,incorrect
geometric-sum,baseline,35
geometric-sum,GVN,incorrect
legendre,baseline,153
legendre,GVN,incorrect
factors,baseline,72
factors,GVN,incorrect
perfect,baseline,232
perfect,GVN,incorrect
binpow,baseline,105
binpow,GVN,incorrect
bitshift,baseline,167
bitshift,GVN,incorrect
digital-root,baseline,247
digital-root,GVN,incorrect
tail-call,baseline,missing
tail-call,GVN,missing
up-arrow,baseline,252
up-arrow,GVN,incorrect
mccarthy91,baseline,1385
mccarthy91,GVN,incorrect
sum-divisors,baseline,159
sum-divisors,GVN,incorrect
permutation,baseline,130
permutation,GVN,incorrect
combination,baseline,178
combination,GVN,incorrect
bin-search,baseline,358
bin-search,GVN,incorrect
ackermann,baseline,1464231
ackermann,GVN,incorrect
pythagorean_triple,baseline,61518
pythagorean_triple,GVN,incorrect
braille,baseline,325
braille,GVN,incorrect
gebmm,baseline,3011
gebmm,GVN,incorrect
euclid,baseline,563
euclid,GVN,incorrect
bbs,baseline,137
bbs,GVN,incorrect
sum-of-cubes,baseline,8
sum-of-cubes,GVN,incorrect
binary-fmt,baseline,100
binary-fmt,GVN,incorrect
dayofweek,baseline,269
dayofweek,GVN,incorrect
lcm,baseline,2326
lcm,GVN,incorrect
gcd,baseline,46
gcd,GVN,incorrect
triangle,baseline,188
triangle,GVN,incorrect
catalan,baseline,659378
catalan,GVN,incorrect
gpf,baseline,759
gpf,GVN,incorrect
armstrong,baseline,133
armstrong,GVN,incorrect
pascals-row,baseline,146
pascals-row,GVN,incorrect
collatz,baseline,169
collatz,GVN,incorrect
sum-bits,baseline,73
sum-bits,GVN,incorrect
arithmetic-series,baseline,7
arithmetic-series,GVN,7
sqrt_bin_search,baseline,744
sqrt_bin_search,GVN,incorrect
mountain,baseline,100
mountain,GVN,incorrect
rectangles-area-difference,baseline,14
rectangles-area-difference,GVN,incorrect
mod_inv,baseline,558
mod_inv,GVN,incorrect
karatsuba,baseline,1548
karatsuba,GVN,5
reverse,baseline,46
reverse,GVN,incorrect
sum-divisible-by-m,baseline,16
sum-divisible-by-m,GVN,incorrect
fizz-buzz,baseline,3652
fizz-buzz,GVN,incorrect
bitwise-ops,baseline,1690
bitwise-ops,GVN,incorrect
sum-digits,baseline,219
sum-digits,GVN,incorrect
delannoy,baseline,5748752
delannoy,GVN,incorrect
