benchmark,GVN,baseline,improvement,percent_improvement
ackermann,,1464231.0,,
arithmetic-series,7.0,7.0,0.0,0.0
armstrong,,133.0,,
bbs,,137.0,,
bin-search,,358.0,,
binary-fmt,,100.0,,
binpow,,105.0,,
bitshift,,167.0,,
bitwise-ops,,1690.0,,
braille,,325.0,,
catalan,,659378.0,,
check-primes,,8468.0,,
collatz,,169.0,,
combination,,178.0,,
dayofweek,,269.0,,
delannoy,,5748752.0,,
digital-root,,247.0,,
euclid,,563.0,,
fact,,229.0,,
factors,,72.0,,
fib_recursive,,2693.0,,
fitsinside,10.0,10.0,0.0,0.0
fizz-buzz,,3652.0,,
gcd,,46.0,,
gebmm,,3011.0,,
geometric-sum,,35.0,,
gpf,,759.0,,
grad_desc,,229.0,,
graycode,,1259.0,,
hamming,,117.0,,
hanoi,,99.0,,
is-decreasing,,127.0,,
karatsuba,5.0,1548.0,1543.0,99.67700258397933
lcm,2323.0,2326.0,3.0,0.1289767841788478
legendre,,153.0,,
loopfact,,116.0,,
mccarthy91,,1385.0,,
mod_inv,,558.0,,
mod_pow,,243.0,,
montgomery,,17.0,,
mountain,,100.0,,
orders,,5352.0,,
palindrome,,298.0,,
pascals-row,,146.0,,
perfect,,232.0,,
permutation,,130.0,,
primes-between,,574100.0,,
pythagorean_triple,,61518.0,,
quadratic,,785.0,,
recfact,,104.0,,
rectangles-area-difference,,14.0,,
relative-primes,,1923.0,,
reverse,,46.0,,
rot13,,8.0,,
sqrt_bin_search,,744.0,,
squares,,153.0,,
sum-bits,,73.0,,
sum-check,,5018.0,,
sum-digits,,219.0,,
sum-divisible-by-m,16.0,16.0,0.0,0.0
sum-divisors,,159.0,,
sum-of-cubes,8.0,8.0,0.0,0.0
sum-sq-diff,,3038.0,,
totient,,253.0,,
triangle,,188.0,,
up-arrow,,252.0,,
