benchmark,run,result
quadratic,baseline,missing
quadratic,JIT,missing
montgomery,baseline,17
montgomery,JIT,incorrect
primes-between,baseline,missing
primes-between,JIT,missing
mod_pow,baseline,missing
mod_pow,JIT,missing
orders,baseline,missing
orders,JIT,incorrect
sum-check,baseline,missing
sum-check,JIT,missing
palindrome,baseline,missing
palindrome,JIT,missing
rot13,baseline,8
rot13,JIT,incorrect
totient,baseline,missing
totient,JIT,missing
fib_recursive,baseline,2693
fib_recursive,JIT,incorrect
relative-primes,baseline,missing
relative-primes,JIT,missing
hanoi,baseline,99
hanoi,JIT,129
is-decreasing,baseline,missing
is-decreasing,JIT,missing
squares,baseline,missing
squares,JIT,missing
graycode,baseline,missing
graycode,JIT,missing
grad_desc,baseline,missing
grad_desc,JIT,missing
check-primes,baseline,missing
check-primes,JIT,missing
sum-sq-diff,baseline,missing
sum-sq-diff,JIT,missing
fitsinside,baseline,10
fitsinside,JIT,18
hamming,baseline,missing
hamming,JIT,missing
fact,baseline,229
fact,JIT,258
loopfact,baseline,missing
loopfact,JIT,missing
recfact,baseline,104
recfact,JIT,127
geometric-sum,baseline,missing
geometric-sum,JIT,missing
legendre,baseline,missing
legendre,JIT,missing
factors,baseline,missing
factors,JIT,missing
perfect,baseline,missing
perfect,JIT,missing
binpow,baseline,105
binpow,JIT,126
bitshift,baseline,167
bitshift,JIT,189
digital-root,baseline,missing
digital-root,JIT,missing
tail-call,baseline,missing
tail-call,JIT,24012
up-arrow,baseline,missing
up-arrow,JIT,missing
mccarthy91,baseline,1385
mccarthy91,JIT,1566
sum-divisors,baseline,missing
sum-divisors,JIT,missing
permutation,baseline,missing
permutation,JIT,missing
combination,baseline,178
combination,JIT,213
bin-search,baseline,missing
bin-search,JIT,missing
ackermann,baseline,timeout
ackermann,JIT,timeout
pythagorean_triple,baseline,missing
pythagorean_triple,JIT,missing
braille,baseline,325
braille,JIT,365
gebmm,baseline,missing
gebmm,JIT,missing
euclid,baseline,missing
euclid,JIT,missing
bbs,baseline,missing
bbs,JIT,missing
sum-of-cubes,baseline,8
sum-of-cubes,JIT,19
binary-fmt,baseline,100
binary-fmt,JIT,128
dayofweek,baseline,missing
dayofweek,JIT,missing
lcm,baseline,missing
lcm,JIT,missing
gcd,baseline,missing
gcd,JIT,missing
triangle,baseline,missing
triangle,JIT,missing
catalan,baseline,missing
catalan,JIT,missing
gpf,baseline,missing
gpf,JIT,missing
armstrong,baseline,missing
armstrong,JIT,missing
pascals-row,baseline,missing
pascals-row,JIT,incorrect
collatz,baseline,missing
collatz,JIT,missing
sum-bits,baseline,missing
sum-bits,JIT,missing
arithmetic-series,baseline,7
arithmetic-series,JIT,17
sqrt_bin_search,baseline,744
sqrt_bin_search,JIT,1105
mountain,baseline,missing
mountain,JIT,missing
rectangles-area-difference,baseline,14
rectangles-area-difference,JIT,24
mod_inv,baseline,missing
mod_inv,JIT,missing
karatsuba,baseline,missing
karatsuba,JIT,missing
reverse,baseline,missing
reverse,JIT,missing
sum-divisible-by-m,baseline,16
sum-divisible-by-m,JIT,24
fizz-buzz,baseline,missing
fizz-buzz,JIT,missing
bitwise-ops,baseline,missing
bitwise-ops,JIT,missing
sum-digits,baseline,missing
sum-digits,JIT,missing
delannoy,baseline,timeout
delannoy,JIT,timeout
